TCP Flows:
Client   -------->   Server   SYN       (Seq = 951057939, ack = 0, window size = 8760) 
Client   <--------   Server   ACK SYN   (Seq = 290218379, ack = 951057940, window size = 5840) 
Client   -------->   Server   ACK       (Seq = 951057940, ack = 290218380, window size = 9660) 
Client   -------->   Server   ACK PSH   (Seq = 951057940, ack = 290218380, window size = 9660) HTTP: GET
Client   <--------   Server   ACK       (Seq = 290218380, ack = 951058419, window size = 6432) 
Client   <--------   Server   ACK       (Seq = 290218380, ack = 951058419, window size = 6432) HTTP: 200 OK
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290219760, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290219760, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290221140, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290221140, ack = 951058419, window size = 6432) 
Client   <--------   Server   ACK PSH   (Seq = 290222520, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290223900, window size = 9660) 
Client   -------->   Server   FIN       (Seq = 3608751, ack = 2294016, window size = 0) 
Client   <--------   Server   ACK       (Seq = 290223900, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290225280, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290225280, ack = 951058419, window size = 6432) 
Client   -------->   Server   FIN       (Seq = 10104834, ack = 2326912, window size = 4) 
Client   -------->   Server   ACK PSH   (Seq = 918691368, ack = 778785668, window size = 8760) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290226660, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290226660, ack = 951058419, window size = 6432) 
Client   <--------   Server   ACK PSH   (Seq = 290228040, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290229420, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290229420, ack = 951058419, window size = 6432) 
Client   <--------   Server   ACK       (Seq = 778785668, ack = 918692089, window size = 31460) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290230800, window size = 9660) 
Client   <--------   Server   ACK PSH   (Seq = 778785668, ack = 918692089, window size = 31460) HTTP: 200 OK
Client   <--------   Server   ACK PSH   (Seq = 778787098, ack = 918692089, window size = 31460) 
Client   -------->   Server   ACK       (Seq = 918692089, ack = 778787258, window size = 8760) 
Client   <--------   Server   ACK PSH   (Seq = 290230800, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290232180, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290232180, ack = 951058419, window size = 6432) 
Client   <--------   Server   ACK       (Seq = 290233560, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290234940, window size = 9660) 
Client   <--------   Server   ACK       (Seq = 290234940, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290236320, window size = 9660) 
Client   <--------   Server   ACK PSH   (Seq = 778785668, ack = 918692089, window size = 31460) HTTP: 200 OK
Client   -------->   Server   ACK       (Seq = 918692089, ack = 778787258, window size = 8760) 
Client   <--------   Server   ACK PSH   (Seq = 290236320, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290236744, window size = 9236) 
Client   <--------   Server   ACK FIN   (Seq = 290236744, ack = 951058419, window size = 6432) 
Client   -------->   Server   ACK       (Seq = 951058419, ack = 290236745, window size = 9236) 
Client   -------->   Server   ACK FIN   (Seq = 951058419, ack = 290236745, window size = 9236) 
Client   <--------   Server   ACK       (Seq = 290236745, ack = 951058420, window size = 6432) 
